seg1,seg2,label,contradiction type,issues?
He would probably appreciate you doing that.,"I hope so, I don't know if he'll like it though. ",self-contradiction,negation,
"Not that late, like 10.  I'm usually home by 8 pm.  I just tend to stay up late at night, usually playing video games, doing absolutely nothing productive.",I usually go to bed pretty early.,self-contradiction,lexical,
i have one,I dont have a cat I am allergic.,self-contradiction,negation,Missing Context
"Oh yeah, that can totally happen. It's also good for people who have a lot of junk and don't want to go to the trouble of selling it and don't want to throw it away.",Too bad people with lots of stuff won't do something like this,self-contradiction,lexical,Missing Context
"hello, i like spicy food .","No, I would not want to try a spicy soda. I don't like spicy foods.",self-contradiction,negation,
"Yeah, anytime I try to buy from the healthfood section at the store, I blow through my budget so quickly. ","well, if possible low cost foods and plans to get my food",self-contradiction,lexical,
I love spicy food too! What type of food do you like the most?,I don't like Thai food. It's too spicy!,self-contradiction,negation,
i am basically a gym rat . but i try to read often too .,I don't read books.,self-contradiction,negation,
"Yes, I have been to the third largest island of the Greater Antilles.",Am Went to Australia,self-contradiction,lexical,not necessarily a contradiction
"I agree, another one of my favorite thrift shops is the Wolverhampton Society for the Blind.  They sell trinkets made by blind people, which I think is really cool.","Well, I do not know. Since Wolverhampton Society for the Blind is one of my most hated thrift shops.",self-contradiction,antonymy,
An Italian restaurant. We love a good pasta!,"Yeah, we hate it, too.",self-contradiction,antonymy,Missing Context
"To be honest, I wouldn't be scared. Just buy a gun or cameras?",I'd be scared too!,self-contradiction,negation,
I am actually in a band :)  I sing.,I am a professional tennis player!,self-contradiction,lexical,not necessarily a contradiction
"oh the same as robert deniro , my favorite actor","I hate Robert Deniro, he is so overrated.",self-contradiction,antonymy,Missing Context
"I have! Ive been to British isles of Great Britain, England to be exact, it is where I was born but ive lived my life in America since I was a baby. Visited last winter too.",I have never visited the British Isles. ,self-contradiction,negation,
I need to head to a bakery tomorrow.  I sadly don't know how to bake that type of bread myself.,Those are good. i only know how to bake garlic bread.,self-contradiction,lexical,not necessarily a contradiction
The logo was well done.  What is your expertise?,"Im glad it is gorgeous, unlike to very horrible logo I made a couple of weeks back.",self-contradiction,antonymy,not necessarily a contradiction
"In the relationships I have been in i have never cheated,  I have suspicions that the guys I was with did though.","Yeah, I only cheated once when I was in high school by kissing another guy. I felt so bad that i vowed to never cheat again.",self-contradiction,negation,
I can't really imagine a scenario where hiking would be dangerous.,"It's not, it's one of the safest hobbies a person could have.",self-contradiction,lexical,Missing Context
"Omg,  I have seen one of those!","I've never seen that ride before, and probably will never try it after you telling your experience.",self-contradiction,lexical,Missing Context
"Oh no!,  Did you ever end finishing it up in time?",I wish I would have finished my project like you but I didn't get it done. ,self-contradiction,structure,Missing Context
"hi my name is jenny , from france . i'm in us now .","Yoga isn't too big over here in France. Maybe if I move to the US I can watch american football. I can't stand soccer, too boring, running around.",self-contradiction,structure,
Not yet!Springfield is the third-largest city in the state of Missouri ,"not at all, that's why I allways spend summer there!!! ",self-contradiction,N-a,Missing Context
"i love music , especially gospel music",Not really. Music is not something that I really like.,self-contradiction,antonymy,
That's awesome.  How long have you been together?,I'm sure things will get better.  Keep your head up.,self-contradiction,N-a,Missing Context
Yes sir! I love america land of the FREE BABY!! I wear flip flops all the time to show my love!,I don't wear flip flops so I don't know.,self-contradiction,negation,
"Nice,  I bet you were very prepared.",I always prepare myself for the inevitable.,self-contradiction,N-a,not necessarily a contradiction
Yeah it can be a challenge but kids are worth it.,"Don't get kids, they are way too much of a hassle and not worth having, trust me.",self-contradiction,lexical,
I couldn't find anyone that wanted to hangout so I had to spend the whole weekend by myself.,I did enjoy spending the weekend with my girlfriend.,self-contradiction,lexical,
that is nice . i do more engineering than salsa,"No, I'm not in engineering, I'm in the music business.",self-contradiction,negation,
"its gotta be the beatles , my two older brothers love them too .",I HATE the Beatles. Queen is MUCH better!,self-contradiction,antonymy,
"that is true, i am now in fermenting veggies",No I actually can´t. I dont know anything about food.,self-contradiction,lexical,
I live in rural Wisconsin so I have many pets on a farm.,i don't own a pet .i hate pets. i can't stand living with one.,self-contradiction,negation,
"I love that show! It originally came from ""The Spirit of Christmas"" which the show creators worked on prior.",I agree. King of the Hill is hilarious. Much better than that awful South Park show.,self-contradiction,antonymy,
Definitely steak because it's my favorite food. ,thank you for your invitation .but i don't like steak.,self-contradiction,negation,
i never was much for reading . i always enjoyed sports i played foot ball in high school .,Do you like to read? I love reading,self-contradiction,lexical,
The type doesn't matter but I like drawing flowers with rocks.,"I hate drawing, it's just really boring in my opinion.",self-contradiction,antonymy,
ha!  I played pong!  Can people on PS4 play with people on Xbox One?,I try but even when I was young video games weren't my thing,self-contradiction,lexical,
"I watched a movie the other night with my kids,  they really enjoyed it and we had a lot of cute conversation about it.",It will happen!,self-contradiction,N-a,Missing Context
"Yes that would be fun, I have so much free time since I dont have children or responsibilities","Maybe we could go to a concert sometime also if you like country music, that is all I listen to",self-contradiction,N-a,Missing Context
It's very exciting I just can't wait my girl friend loves animals cats especially so we are defiantly going to the zoo first. ,I'm the same about any reading material that goes beyond something like an instruction manual. ,self-contradiction,N-a,Missing Context
just hanging out doing some painting . you ?,"I have never painted before, do you like to paint?",self-contradiction,lexical,
"I just dyed my hair burgandy, kind of regretting it","I love my burgundy hair, I did a good job. ",self-contradiction,lexical,
I love baking! Are you a fan?,I eat a lot of street food because I never learned how to cook.,self-contradiction,lexical,
"Exactly, 9/11 changed everything. TSA made air travel worse. It's annoying really.","It's not bad, I don't mind how TSA has handled things really. ",self-contradiction,lexical,
i love green . i just bought some green shorts to wear to a marathon .,No ! i hate my living room wall paint which is so dull and green. ,self-contradiction,N-a,Missing Context
Me too! I hope we both enjoy it a lot!,I'm not really looking forward to the next season.,self-contradiction,N-a,Missing Context
The first harry potter book only came out in 1997 but made billions since,JK Rowling is very poor and lost out by publishing the books.,self-contradiction,lexical,
play video games mostly,Well I rarely play video games but I've played Minecraft and liked it. ,self-contradiction,lexical,
Did they take a lot of things?,that isn't much.,self-contradiction,N-a,Missing Context
That's so true. Christian music today really focuses on praise and worship styles similar to pop or rock music.   , Christian music today does not really focuses on praise and worship styles similar to pop or rock music,self-contradiction,negation,
(*ratio)  I watch my score like a hawk.,"Yeah, I don't pay attention to my credit score either.",self-contradiction,lexical,
"Blue is my favorite color, know anything cool about it?","Green is my best color, I just hate to see blue anywhere",self-contradiction,lexical,
i only speak one . but in college i'm studying another .,I don’t speak Spanish. ,self-contradiction,N-a,Missing Context
"i like the woods but not the desert , to many scorpions","No, I can't stand spending time outdoors in the forest. There's too much bugs!",self-contradiction,lexical,
"That is so sweet, you are such a good person.  I am not volunteering anywhere right now, I'm to busy at my job as a cartographer for google maps.","Oh, I absolutely hate volunteering.",self-contradiction,lexical,
You totally should!  Bring your cats for a playdate!,"Yes, the pigs are ugly.",self-contradiction,N-a,Missing Context
aerosmith ! i have the call of duty game for my console but it is in spanish .,I don't know anything about Spanish.,self-contradiction,lexical,
That sounds like an awesome job! ,That's a terrible job to have if I'm being honest.,self-contradiction,antonymy,
"Exactly. Or preferably, just leave me alone! :D","Well, Im a big converser, I could talk on the phone for hours. Texting is too impersonal.",self-contradiction,lexical,Missing Context
as a science teacher . . just finishing up my lunch break . where do you work ?,"Not me, I'm satisfied teaching simple math to 1st grade kids.",self-contradiction,lexical,
I don't like most flowers but roses and lilies are my least favorite!,Yes. Flowers are worth all the hard work for the beauty they give,self-contradiction,lexical,not necessarily a contradiction
Sure. I like thrillers that are not gross and bloody. How about you?,i love titanic. its not bloody and gross,self-contradiction,lexical,not necessarily a contradiction
she's very protective but friendly . i do not like talking much so do not have many friends,Oh I know.  I have so many friends that think she is the best.,self-contradiction,negation,
"So the four elements you asked about earlier, they are rapping, scratching with turntables, break dancing, and graffiti writing.",There is only element with rapping and it's only about the music.,self-contradiction,numeric,
"Oh, my husband has a PS4!  What kind of games do you like?",I do in fact I visited one last week with my fiance.,self-contradiction,lexical,
"I am content with my life right now, I have a girlfriend, good friends, and a great family","Oh I wish I had a truck, my life sucks and I can't believe my girlfriend left me. ",self-contradiction,structure,
Winter is my favorite season. ,"I love the heat, Summer is by far my favorite season!",self-contradiction,lexical,
I won't forget anything because i enjoy the whole planning from start to finish,"Boy are you right about that. I was really excited during the early planning stages,  but it's been stressful ever since.",self-contradiction,lexical,
I also love white chocolate! It doesn't contain non-fat cocoa solids. I love pretzels that are dipped in white chocolate!,Yeah. Too bad I hate chocolate.,self-contradiction,antonymy,
"Oh, I started playing guitar because of The Beatles!  Twist and Shout, over and over again!  LOL",I hope to one day learn how to play the guitar. ,self-contradiction,lexical,
my four kids love aquariums and ice cream,My Three kids hates aquariums and ice cream ,self-contradiction,antonymy,
I am not happy that the summer is almost over.,I really can't wait for Fall. Love the autumn trees.,self-contradiction,lexical,
"that is cool , i like brown hair . what are something you like to do ?",I don't like brown hair,self-contradiction,negation,
no job now i make movies and have my sights set on hollywood,not bad it is okay,self-contradiction,N-a,not necessarily a contradiction
"The most recent one that I've finished is called ""You"" and it's based on a book. I found it really fascinating.",Oh I never heard of that author I don't read books to boring.,self-contradiction,lexical,not necessarily a contradiction
"I have been for two years and I can say- just stay away form anything that is an animal product including eggs, dairy products and animal derived substances! ",Exactly. That's why I don't eat chickens... it's ok to eat chicken eggs though as long as the chickens are cage-free.,self-contradiction,lexical,
so you got a lemon ? check your state laws,"Where is your son, he got the orange.",self-contradiction,N-a,Missing Context
"That's good.  If not for you,  who knows what could have happened.  You must be a very caring individual.",You shouldn't have done anything. Let nature take its course.,self-contradiction,lexical,
do you eat meat ? i do not,"yessss, i love bacon.",self-contradiction,negation,
Oh I am sorry that happened. Hopefully they understand it was a simple mistake. ," But is losing thousands of dollars a simple mistake,you have to be more careful at work.",self-contradiction,lexical,not necessarily a contradiction
i remember my parents taking me to sears and buying me a basketball when i was little.its probably why basketball is my favorite sport,"yes, i used to get baseball accessories from there as well. it's our favorite past time and sport.",self-contradiction,lexical,
That's cool! It's always good to have a hobby,Hobbies are overrated. It's much better to have a good job and be productive!,self-contradiction,lexical,
My fear is definitely from IT. Even though clowns are designed to entertain large audience,I love watching IT because I am a big fan of clowns. They don't scare me.,self-contradiction,lexical,
"Either way, Michelle Obama probably needs to hire a stylist.  She's never been fashionable to me.",I don't follow her closely enough to see how her style has changed over the years but I agree.  A mall brand for a first lady?,self-contradiction,lexical,not necessarily a contradiction
Yeah a sunset doesn't technically happen until the trailing edge of the sun disappears ,"it does, it just sets normally",self-contradiction,lexical,not necessarily a contradiction
"It's fall here, so winter will be here before we know it. I wish it was still summer. I love the heat, not humidity thought, kills my asthma","I don't like the summer heat, I find it unbearable.",self-contradiction,negation,
I agree. What an admirable healthcare profession.,I am not a big fan of paramedics or healthcare professionals.,self-contradiction,negation,
"my best friend is one , we agree to disagree on everything except trump .",I don't have a best friend. I'm kind of a loner.,self-contradiction,negation,
I am terrible at art,Are you on drugs?,self-contradiction,N-a,Missing Context
ah that is nice . like my turtles . you have pets ?,Oh I do not have any pets.,self-contradiction,negation,
I have a few friends who are way better off than I am. It makes me a bit sad about my situation. ,There's not too many of my friends that are better off than I am. ,self-contradiction,lexical,not necessarily a contradiction
Yeah i thought about taking it back but it was rotisserie chicken so it was really good. Turkey next time. ,I'm not a big fan of chicken but i do love me some steak.,self-contradiction,lexical,
no . i don't like sports . i'm going to business school in a year .,"Mostly sports psychology, I am a big sports fan.",self-contradiction,negation,
"I agree, I always use it.  I hope to retire to Hawaii in the future and i will definitely need to use it there!",I have never used Nivea as a sunscreen and when I retire It will to Iceland.,self-contradiction,lexical,
"no , i never got to finish school . do you have other hobbies?",I don't have other hobbies since I am an architec.,self-contradiction,negation,typos
same . i work as a kennel assistant . that's how i got 3 dogs . you ?,I don't know what I would do without my two dogs.,self-contradiction,numeric,
My dad dies when I was 33 years old.,I am. My friends threw me a party for my 30th birthday last Friday!,self-contradiction,WK,
oh . i almost did that but i want to graduate high school in two years .,I decided to paint it after the colors of the college I graduated from .,self-contradiction,WK,
i am a personal trainer like 5 days a week,I am retired and live on Miami beach. I don't work anymore.,self-contradiction,lexical,
Tacos? i like tacos i think they good ,Me too. Tacos aren't that good.,self-contradiction,negation,
I have a small Welsh Corgi that  i often take for a walk. It is a type of herding dog,"Dogs are sometimes very dangerous that is why i don't keep one because i have alot of kids around me, i keep cats and birds alone",self-contradiction,negation,
I have never heard of him. My favorite pianist is Chopin.,"I'm not sure, I hate Chopin.",self-contradiction,N-a,
"True, her real name is Madonna Louise Ciccone and she was born in 1958.  She just turned 60!",She's got such a stage presence for a woman in her 50s!,self-contradiction,numeric,
"im thinking about becoming a parent, is it a good idea ?",I don't think I want to become a parent anymore,self-contradiction,negation,
"Wow you're right, it's fascinating to consider the study of hues and how they affect human behavior and other factors, also known as color psychology.",I don't have much interest in the deep meaning of colors.,self-contradiction,lexical,
Definitely. It can be caused by both genetic and environmental factors.,"Thanks, but I am pretty sure there is no way of finding out what is causing my allergies.",self-contradiction,lexical,
"I had a test yesterday,  but I made sure to study throughout the week before.",I'm with my girlfriend throughout yesterday,self-contradiction,lexical,
"nice ! i do not work , i volunteer at a dog shelter",I work at a restaurant during the weekdays.,self-contradiction,negation,
"Well, call me naive, I know I'm still pretty young, but I think it's got to be more than that. ","That's great! I wish I could write more, but my time is passed due since I'm so old. And I don't have any money for education, so I can't go to school!",self-contradiction,antonymy,
"I work in a hotel, what do you do?","I work at a restaurant, it seems like everybody loves steak. ",self-contradiction,negation,
Halo 3 is so fun to play!,True. I just hope they change the gameplay for the next one - I'm getting bored with the first-person aspect already.,self-contradiction,lexical,
nice usa ! i am in france .,"No, I live by myself, here in Brazil, we move out at a really young age.",self-contradiction,lexical,
do you enjoy running ? i enjoy sewing items to wear .,i think i'd learn how to sew,self-contradiction,lexical,
I like to sing but my girlfriend irritates me and doesn't appreciate my skills.,"that's cool, I really like hanging out with my boyfriend",self-contradiction,lexical,
Mostly the fatigue that is not warranted or due to strenuous ongoing exertion,Feeling fatigued isn't a symptom.,self-contradiction,lexical,
I love that movie.  The use of imagery and just simple facial expressions tells so much of the story.,I seem not to like all the parts of the movie though.,self-contradiction,negation,not necessarily a contradiction
That's definitely a good plan.  I just finished my MBA degree.  I think I need to put that to use and find a new job.,finding a job is boring i'll stay at home.,self-contradiction,lexical,
Have to be much more careful next time maybe get a box to put it in. ,You don't need to get a box to put it in. Just wear it and don't lose it. ,self-contradiction,negation,
Well my son always keeps his room nice and tidy. ,Maybe he's not such a genius after all. ,self-contradiction,N-a,not necessarily a contradiction
Yes. I was told facebook even has profile of people that never signed up!,"If you don't like facebook, then don't use it. It's not like they can get information if you don't put it in.",self-contradiction,lexical,
"I like red hair too, i drew the red hair girl for my last drawing and you know what it got published",drawing is so boring.  ,self-contradiction,lexical,
"i like to eat with my girl friend , she's very pretty",You should I'd recommend it. My boyfriend really likes the song. He's a music buff.,self-contradiction,lexical,
"it was good , played with my dog whos my best friend",I'm sorry you see it that way. I love cats more than anything and playing with them helps me feel less shy.,self-contradiction,lexical,
swim and snorkle..and listen to music..i love justen bieber; i'd like to follow him around on tour,"Me neither, sounds like it would be boring after a while.",self-contradiction,N-a,Missing Context
cool ! i am vegan and try to learn new recipes,"Luckily for me, the local butcher gives me cheaper rates on cuts of meat. That helps.",self-contradiction,WK,
my husband is a doctor so i cook meals and freeze them to have on hand .,Yeah me too. I'm glad I don't have to do the cooking.,self-contradiction,negation,
"uru , i have a job at a grocery shop !",No I don’t have a job right now. ,self-contradiction,negation,
"I tend to eat a lot whenever I am stressed out, or when I am at a buffet or a place that serves a lot of food. I try to eat slowly to help with that.","Yeah easily, I don't eat that much.",self-contradiction,negation,
Oh yes!  In fact they are extremely fast and powerful and were used as a sled dog for heavy loads,"No worres, but you have to wary that they are really slow and weak, so they will not be able to keep up as a sled dog.",self-contradiction,negation,Missing Context
I love Goldendoodle dogs.  ,"Poodles may be better for me, as I can't stand goldendoodles.",self-contradiction,negation,
I love going to the beach - I prefer wild beaches - they are undeveloped or undiscovered beaches,"Oh, a beach is the last place I'd like to go for vacation.  I much prefer the mountains!",self-contradiction,lexical,
Definitely. They're important to our ecosystem and way of life.,I think that humans hurting the environment is just part of the circle of life. ,self-contradiction,lexical,
"I like to help others! It was not an easy thing to do,  but it seemed like it was the right thing to do. ","They were both quite young, so it was very easy to help carry one of them. ",self-contradiction,negation,
I would love to go Egypt. ,"No, it's great, my vacation in Greece is going well!",self-contradiction,lexical,not necessarily a contradiction
good day friend . can you hi to my dog toto ?,That's so funny. I wish I had a dog,self-contradiction,lexical,
I was pretty irritated in traffic this morning.,I LIKE WHEN THE TRAFFIC IS BAD I CAN READ MY BOOK.,self-contradiction,negation,
I learned when I was a child and young and bendable at Torrey Pines State Beach near San Diego,"I'm not sure, I only learned recently as an adult.",self-contradiction,lexical,
"Well that is a very expensive gift,  she cannot expect to get stuff that costs so much!","You should just get her the scooter, $400 isn't expensive.",self-contradiction,negation,
"Love being a server, but running my own buisness with my brother is a pain. Just trying to pay off school debt! Relaxation sounds great LOL",That's cool. I just hate my job so much that I feel like quitting sometimes.,self-contradiction,lexical,not necessarily a contradiction
Yes I love going to to the beach at least once a year and collecting sea shells.,Why would you collect seashells? I do not like them,self-contradiction,structure,
Yeah but I got a little too drunk and forgot to top the pretty waitress :(,"It's okay, she doesn't deserve it, she didn't look attractive. ",self-contradiction,negation,typos
Is there something going on that's got you feeling that way?,"Ok, I didn't ask though.",self-contradiction,negation,
Same here!! I love the adrenalin.  What's your favourite?,"Yeah, I hate horror movies, so I haven't seen many at all!",self-contradiction,lexical,Missing Context
"I wear size 8 1/2-10 usually, we get discounts here in Beaverton Oregon because they are headquartered here",I wear a size 10,self-contradiction,numeric,
"i love cupcakes they're my favorit dessert however , my favorite food is lutefisk","No, Pecan pie is my favorite dessert.",self-contradiction,negation,
"A girl hit on me at an event, but I've got a girlfriend. Not interested.",today is a good day.,self-contradiction,N-a,Missing Context
"well i've been in two accidents , but besides that i am well",That's terrible. I am fortunate to have never been in an accident.,self-contradiction,negation,
"What;s your opinion on pineapple on pizza? As a pizza connoisseur, I can't stand it ","Pineapple is a fruit for sure, its the only fruit I like on a pizza.",self-contradiction,lexical,
What are prefectures I have never heard that before?,Obviously! I already knew what a prefecture was.,self-contradiction,negation,
"Oh yeah,  you definitely need to be prepared. Do you think you will get a hurricane?",You don't need preparation for this.,self-contradiction,negation,
"My wife and I have been together for 12 years,  tried years ago and nothing. Waited a while and then started trying again and we got it. Fate has a funny way of working out.","Thanks! Right now me and the wife are going to focus on paying off our mortgage, no plans to have a kid yet.  ",self-contradiction,negation,
"i am well , just got done eating spicy food and you ?",No thanks. I can't tolerate spicy foods.,self-contradiction,negation,
No kidding. Those tires can't be cheap either.,I think the best part about trucking is the cheap tires. ,self-contradiction,negation,
That would be a great way to memorialize them. What sort of art do you do?,I don't think a painting is a great way to  memorialize your friend. How about a tattoo instead?,self-contradiction,negation,Missing Context
"I asked my friend to get some stuff for a party,  I knew I could count on him though.","Aww sorry to hear that, but luckily for you you only have a few people gathering at your home!",self-contradiction,N-a,Missing Context
i love the eighties . my all time favorite toy is lite brite .,"I never touched them either, it was all too messy! ",self-contradiction,lexical,Missing Context
"The taco has spread throughout the region, but is still primarily a traditional Mexican dish composed",I agree. Not really taken in other part of the world other than Mexico though,self-contradiction,N-a,
ya it is very fun!,yes yes it is nice,self-contradiction,N-a,Missing Context
I am so mad.. my dogs wont stop barking and I am going absolutely nuts,"Barking dogs are Helpful!,Because it threaten people and scare them!",self-contradiction,lexical,
Well good for you.  What did you do to prepare yourself?,"Finally, its about time you started working.",self-contradiction,N-a,Missing Context
I don't either really. lol I'm so glad,happy and confident,self-contradiction,N-a,Missing Context
"I know! He's a busy guy and has his fingers in lots of pies. His podcast is one of the worlds most popular, and has listeners from all over the world.",And this is exactly why his listeners base is constantly decreasing and soon he would probably have nothing to do at all.,self-contradiction,lexical,Missing Context
oh dang thats a real thinker,wow that's dumb.,self-contradiction,lexical,Missing Context
they do . . . i am a focal point at the company .,"Not bad, nobody really pays attention to me. I clean the building at night.",self-contradiction,lexical,
"That's really smart to use your hobbies to make money! I like to work on classic cars, could do that all day!","I wish I had your passion for something like that. I don't really have any hobbies, mostly just watch tv ",self-contradiction,negation,
i love the smell of the flowers in the air .,"I'm not so sure about that. i can't stand the smell of flowers they always make me cough and sneeze, hate it.",self-contradiction,antonymy,
"cool , i used to play got injured though",Neither have I.,self-contradiction,N-a,Missing Context
"I dont think divorce should be an option in marriage, what do you think?",divorce should always be an choice ,self-contradiction,negation,
i've 2 tattoos of flowers so that is cool .,"No, but I'd really like to get a purple one some day",self-contradiction,negation,Missing Context
its a beautiful place,"It's a horribly ugly place to visit, I do not recommend.",self-contradiction,antonymy,
I like to create houses out of matches.,yeah i really do not like creating houses out of matches,self-contradiction,negation,
rom-coms. Although I like documentaries too,"I don't really like rom-coms, they're too sappy. I prefer action movies.",self-contradiction,negation,Missing Context
"i like the outdoors also , especially exploring new places that i have not seen before .","I went to the beach, I go there every year.",self-contradiction,lexical,Missing Context
Really? Well I love broccoli and cabbage so that makes sense.,me too but im not a big fan of broccoli or cabbage. I just get hungry when food is talked about.,self-contradiction,negation,
"it does but I am not really into all of that just the exercise part of it, not the spiritual",Honestly the spiritual part is the most important over the exercise.,self-contradiction,lexical,
What a bad doggie... hopefully they don't do it again,Your dog would be a delight and good at home.,self-contradiction,lexical,
I like leather's smell.,I don't like leather. Why would I want my car to have that interior.,self-contradiction,negation,
"i drive a big truck with lifted wheels , what do you drive ?","funny, maybe I might come driving my RV coach.",self-contradiction,N-a,Missing Context
I love yoga I do it 3 times a week it is so peaceful and great for your mind and spiritual practices. ,"Me too, I don't like yoga, I think people who do it are pretentious",self-contradiction,negation,
"i'm 22 , i live in the us now , you",I don't drive I am only 15 and you have to be 16 to get a driver licence.,self-contradiction,numeric,
i loved that Kristin Cashore wrote about fanstasy,"Yeah, but I would prefer she writes romance novels and not fantasy ones.",self-contradiction,lexical,
Sometimes i wish i could just spend more days at home to avoid those kind of mistakes lol.,"Oh, well that seems like an okay job too. I enjoy working at home but sometimes it's a burden spending so many days at home.",self-contradiction,lexical,
"mm, yum!  oysters, crab, but i have a special affinity for *lobster* 8D","I'm allergic to lobster, I can't eat it",self-contradiction,negation,
I'm moving out of state with my boyfriend in a month or so for a new start! I am very optimistic about it!,"I don't have a boyfriend, I am single.",self-contradiction,negation,
I love red! It brings out my spicy personality.,I hate the color red. ,self-contradiction,antonymy,
really ? were you in a movie ?,I don't like movies and would never ask someone if they have ever been in one.,self-contradiction,structure,
That's definitely concern. Is there no more room for advancement at  your current job?,since there is room for advancement in your work place better stay,self-contradiction,structure,
"Well you have busy,  it happens",Not like you have much to do. You should not have let this happen. ,self-contradiction,lexical,
I love butterflies because of the colors. What color was the butterfly?,"I've never really cared to notice all the colors of them before, that's a good point.",self-contradiction,lexical,
Do you have contacts?,I already knew that you have been using contact lenses. So I thought of getting some knowledge from you.,self-contradiction,structure,
i hope it won't happen! ,I hope he doesn't do very well and learn a lesson.,self-contradiction,negation,
I practiced over and over again until the day of the speech. It ended up going really well!,I never practice for my speeches.,self-contradiction,negation,
"Titanic was awesome. I do, too! Do you have a favorite band?","I have not seen titanic, I heard it is boring",self-contradiction,negation,
i had a type o there but i like to read too,"I really don't like to read, I just like to write poetry. ",self-contradiction,negation,
The atmosphere was awful and the people there were very rude ,Oh well then perhaps you shouldn't have gone there ,self-contradiction,N-a,Missing Context
"I've only been to Tijuana many years ago and we weren't eating, ha! I love France.",Yeah that is why I hate to go to France and not a big fan of that country.,self-contradiction,antonymy,
MY kid loves her new school and she doesnt like anything!,I am not. I also dont have any children.,self-contradiction,negation,
an adorable puppy whos super playful,oh wow! i couldnt do that. that why i dont have any pets,self-contradiction,lexical,Missing Context
"Of course it can be, everything depends on oneself to some degree. Maybe creating a hobby between the two would be great. For example, I love drawing with my partner.",That can not be good.,self-contradiction,negation,Missing Context
Hockey. I'm a center!,I really like basketball. I can't get into hockey.,self-contradiction,negation,Missing Context
"I did,  they left it sitting in the middle of the driveway so it could get run over!","Yes, very important. I hope they deliver it soon, I never got any updates or notifications about it.",self-contradiction,lexical,Missing Context
Wow sounds like you need a new store..haha,Then you need to be more careful and don't need to change stores.,self-contradiction,negation,
That is really ridiculous that they shut it off over just $1 though!,they where right to cut it off no matter if it was only a $1,self-contradiction,lexical,
I am there now,Taxes do not affect me to that extent though as I am earning above average.,self-contradiction,N-a,Missing Context
I have a friend that is terrified of clowns. Its pretty funny.,"Yeah, clowns seem scary, I feel sympathetic and couldn't imagine making fun of someone with a fear of clowns.",self-contradiction,lexical,
I recently did a very successful one for a medical company.,It was a huge failure of a campaign for the company.,self-contradiction,antonymy,
"That is awesome, my mother is a nurse, works with surgery people, good career",I have plenty of time because my parents are both hedge fund managers and I don't have to work. ,self-contradiction,lexical,typos
Please be aware that cooking or storing food products that contain vitamin C for long periods of time may reduce the Vitamin C content in those foods.,"Actually, that's not true. The Vitamin C content actually increases over time.",self-contradiction,antonymy,
it's true there's nothing like the good old days,Yet there's nothing good to be happy about in the past.,self-contradiction,lexical,
Wow thats great I have heard a lot of new volvos dont last very long,the infomation i heard about the new set of volvos is that there are the strongest of all,self-contradiction,lexical,
"dwight is quite the character, love back and forth with him and jim",I'm not familiar with The Office. What kind of show is that? ,self-contradiction,lexical,Missing Context
"I like swimming, yoga, and walking my dog",I've never had a pet. I can't have a dog because I'm allergic to them.,self-contradiction,negation,
"I did not cry because I was not surprised, since he lives outside.",Cats could get into a lot of trouble outside.,self-contradiction,N-a,Missing Context
cool ! sometimes i take my two kids up into the mountains for hikes .,i like to hike to get away from my kids,self-contradiction,structure,
Why do you feel at peace?,You shouldn't feel at peace and should not have gone to the family reunion,self-contradiction,structure,Missing Context
"Awesome! I've never been able to sit that long,  so getting really good at video games is hard for me",Well i can easily do that. I'm a master at sitting for a long time focusing my thoughts.,self-contradiction,negation,
Oh no!! I hope it comes soon. I know how that it to be waiting for money to come. ,I wouldn't worry about it. I live my life without worrying about money or possessions.,self-contradiction,N-a,Missing Context
"No, but I really like rackets. They haven't changed much",I believe I play tennis more than Nadal,self-contradiction,N-a,Missing Context
I don't remember anything from high school.,I really don't care how your old friends are doing.,self-contradiction,N-a,Missing Context
"Nothing wrong with that, the most important thing is whether or not it's something you're passionate about and enjoy doing.",That's too bad my advice would be to not to dwell on it too much and just focus on making as much money as possible.,self-contradiction,lexical,
I know a lot about it.,Anthropology. I know nothing about it. ,self-contradiction,negation,Missing Context
"Oh really?  Track or field?  I'm more of a gym rat, I like the variety",I hate the gym.  It's always too crowded and sweaty.,self-contradiction,negation,
Hillary Clinton annoys me,"She is not Fraud. May be, she was trapped by her enemy.",self-contradiction,lexical,Missing Context
"that's really good! I work in DC, traffic is absolutely horrible",I love DC's low crime rate and the ease of the commute by car. ,self-contradiction,lexical,
yes . i am such a lucky man to have my parents still living at 100 age,Both my parents died when I was age 13,self-contradiction,WK,
"yes , i have two girls and one boy . do you have children ?",Oh I do know! My adopted daughter is as close to me as my two daughter that I gave birth to!,self-contradiction,lexical,
i am marry but still love my ex,I'm not married and I have no children.,self-contradiction,negation,typos
yea i really enjoy the breakfast club. i think that would be my favorite,"Really, all of my favorite movies are horrors. ",self-contradiction,WK,
That is a good accomplishment!,"I don't think a degree in nursing  is any important achievement, so that should sound like a big achievement!",self-contradiction,negation,
My Little Pony is definitely a kids show but a lot of adults seem to love it too.,Ok but the show Dora the explorer is an exeption.,self-contradiction,N-a,Missing Context
i love going to florida cause i fear flying and have yet to try hawaii,"It's terrible there, I go every year",self-contradiction,negation,Missing Context
That's nice of you. I've actually heard McDonalds isn't a bad place to work.,I was told workers in McDonald complain of low salary.,self-contradiction,lexical,
